RingID,Sample_name,Population,Sex,Read_count,Coverage,Bioproject,dataset,Longitude,Latitude
M022193,P2_M022193C1,CH,2,166610970,12.093,666,LM3;CH;CH13_2,6.54966670851362,46.621996867297
M022581,M022581H,CH,1,419589940,33.8994,666,CH;CH13,6.54540376098002,46.7282794560089
M022647,P2_M022647G8,CH,2,135993621,9.6806,666,LM3;CH,6.81034597776921,46.7926287016098
M022673,P2_M022673F8,CH,1,138489048,10.9959,666,LM3,6.90898786818808,46.8537047006285
M022674,M022674H,CH,2,455406709,36.1107,666,,6.57358953399884,46.7336332935678
M022680,M022680H,CH,2,340766202,28.003,666,CH,6.57358953399884,46.7336332935678
M022694,M022694B11,CH,2,123860807,10.231,666,LM3,6.57834123259671,46.7630321445809
M022855,M022855F11,CH,1,135813869,10.4728,666,LM3,6.91753187155268,46.8637469660947
M022861,M022861G9,CH,2,122689653,9.8283,666,LM3,6.91753187155268,46.8637469660947
M022865,M022865A5,CH,2,113347601,10.7419,666,LM3,6.91753187155268,46.8637469660947
M022866,P2_M022866D7,CH,2,147462546,10.6169,666,LM3,6.91753187155268,46.8637469660947
M022875,M022875H,CH,2,373356164,30.5848,666,,6.91753187155268,46.8637469660947
M022891,M022891A7,CH,2,120149954,8.763,666,LM3,6.54270433452613,46.6773314602446
M026075,M026075H,CH,1,516159627,40.7925,666,,6.54270433452613,46.6773314602446
M026198,P2_M026198E1,CH,1,126566928,9.7615,666,LM3,6.54270433452613,46.6773314602446
M026200,P2_M026200F1,CH,1,157445399,11.736,666,LM3,6.54270433452613,46.6773314602446
M026204,P2_M026204G1,CH,1,120986035,9.8603,666,LM3,6.86444763120679,46.8484702959729
M026251,M026251A11,CH,1,131534502,10.3368,666,LM3,6.90651076657,46.8867517575384
M026260,M026260H,CH,2,379678651,31.1514,666,CH,6.90651076657,46.8867517575384
M026262,P2_M026262F3,CH,2,149150779,11.2528,666,LM3,6.90651076657,46.8867517575384
M026265,P2_M026265H8,CH,1,144350610,11.092,666,LM3,6.90651076657,46.8867517575384
M026276,M026276H,CH,1,373333855,31.2893,666,,6.54966670851362,46.621996867297
M026357,P2_M026357H1,CH,1,145160492,11.6354,666,LM3,6.82170051731456,46.7595593750646
M026359,P2_M026359D2,CH,1,128414255,10.5829,666,LM3,6.82170051731456,46.7595593750646
M026360,P2_M026360A2,CH,1,148133747,10.742,666,LM3,6.82170051731456,46.7595593750646
M026451,M026451B12,CH,1,144489118,11.4281,666,,6.82170051731456,46.7595593750646
M026459,M026459C9,CH,2,109096114,11.4951,666,LM3,6.51978311384336,46.6947544784578
M026478,M026478H,CH,1,295216510,24.888,666,,6.87059406995173,46.8561921996257
M026583,M026583E3,CH,2,107110228,9.9613,666,LM3;CH,6.87059406995173,46.8561921996257
